黄金裔,祝颂,等级,效果
阿格莱雅,金织如梦,1,处于白昼时，我方全体目标累计攻击8次后激活效果：白昼中速度提高40%，昼夜切换后重置。
阿格莱雅,无缺的华服,2,本祝颂及其强化效果在夜晚也生效且不重置。
阿格莱雅,轮舞的华服,2,激活效果所需的攻击次数减少6次，激活时我方全体目标行动提前100%。
阿格莱雅,染血的华服,2,激活效果所需的攻击次数增加8次，激活后速度额外提高50%。
阿格莱雅,纺织浪漫之丝,3,白昼占比增加25%，激活效果后我方目标在白昼时速度额外提高30%。
阿格莱雅,纺织美丽之丝,3,激活效果后，白昼时我方目标每次施放攻击后使自身速度额外提高2%，单个昼夜内最多叠加60%，昼夜切换后重置。
阿格莱雅,纺织命运之丝,3,激活效果后，白昼时每有100点速度，使自身造成的最终伤害提高20%。
缇宝,万径相连,1,处于白昼时，我方目标最终伤害提高25%。进入白昼时激活我方全体终结技。
缇宝,童话关于黎明,2,白昼占比增加25%，白昼时我方目标最终伤害额外提高20%。
缇宝,童话关于往昔,2,处于白昼时，我方目标消灭敌方目标后，恢复等同于能量上限50%的能量。
缇宝,童话关于我们,2,本祝颂及其强化效果在夜晚也生效且不重置。当永夜后，黑夜降临时，激活我方全体终结技。
缇宝,预言带来纷争,3,白昼占比增加25%，白昼时我方目标最终伤害额外提高25%。
缇宝,预言留下希望,3,处于白昼时，我方目标攻击每击中1名敌方目标，下回合开始时回复同于生命上限6%的生命值，最多叠加10次。
缇宝,预言再续神话,3,处于白昼时，我方目标每次施放终结技时，造成的最终伤害提高4%，单个昼夜内最多叠加60%，昼夜切换后重置。
海瑟音,无休欢宴,1,处于白昼时，敌方目标受到的最终伤害提高25%，敌方目标陷入【绝唱】：每回合开始时，受到400%基础伤害的物理属性附加伤害。
海瑟音,永续的狂欢,2,白昼占比增加25%，白昼时敌方目标受到的最终伤害提高20%。
海瑟音,不醒的酣眠,2,处于白昼时，敌方目标受到我方目标攻击后，按100%的比例触发1次【绝唱】的伤害。
海瑟音,流转的诗篇,2,【绝唱】视为【裂伤】，【绝唱】的伤害倍率提高原倍率的100%, 每回合开始时造成持续伤害。
海瑟音,沉醉者的挽歌,3,白昼占比增加25%，白昼时我方目标造成的最终伤害提高25%。
海瑟音,离愁者的挽歌,3,处于白昼时，【绝唱】每次造成伤害，其伤害都会提高原倍率的5%，单个昼夜内最多叠加200%，昼夜切换后重置。
海瑟音,无归者的挽歌,3,每次受到其他持续伤害时，按50%的比例触发1次【绝唱】伤害，每次行动最多触发4次。
风堇,虹的轻语,1,处于白昼时，我方目标每回复自身等级60倍的生命值后，自身在白昼时造成的最终伤害提高5%，可叠加，单个昼夜内最多叠加20%。
风堇,雨啊润泽万物,2,白昼与黑夜切换间隔缩短25%，最多缩短50%。进入白昼时，我方目标造成的最终伤害提高20%，持续2回合。
风堇,风啊轻抚林木,2,基础效果中，所需回复的生命值降低至自身等级的30倍，每次触发基础效果成功提高最终伤害后，生命上限提高3%。
风堇,光啊照耀净土,2,本祝颂及其强化效果在夜晚与进入夜晚时也生效，且可继续叠加并重置叠加上限。
风堇,雷霆刺穿苍穹,3,白昼占比增加25%。处于白昼时，我方目标造成的最终伤害提高25%。
风堇,彩虹连接彼端,3,基础效果中，每个白昼的最终伤害提高上限变为35%。
风堇,天空注视众生,3,进入白昼时，我方目标下一次施放攻击后，对攻击目标造成等同于生命上限1,000%的附加伤害。
