名称,命途,模式,TAG,效果,版本
神性构筑•谐振传递,存护,人间喜剧,命途机制,强化前：角色施放攻击后，对受到攻击的敌方目标造成等同于角色当前护盾量100%的【反震由特定「存护」命途祝福造成的附加伤害。】伤害。强化后：角色施放攻击后，对受到攻击的敌方目标造成等同于角色当前护盾量100%+队友当前护盾总量20%的【反震由特定「存护」命途祝福造成的附加伤害。】伤害。,1.0
神性构筑•超静定场,存护,人间喜剧,命途机制,强化前：角色受到攻击后，对攻击者造成等同于当前自身护盾量340%的【反震由特定「存护」命途祝福造成的附加伤害。】伤害，该伤害无法消灭敌方目标。强化后：角色受到攻击后，对攻击者造成等同于受到攻击前护盾量420%的【反震由特定「存护」命途祝福造成的附加伤害。】伤害。该伤害无法消灭敌方目标。,1.0
神性构筑•宏观偏析,存护,人间喜剧,护盾护盾量提高,强化前：角色获得特殊护盾，获得其他护盾时该护盾会增加获取护盾量100%的护盾量。超过角色生命上限30%的部分，会在角色回合开始时失去90%。强化后：角色获得特殊护盾，获得其他护盾时该护盾会增加获取护盾量100%的护盾量。超过角色生命上限45%的部分，会在角色回合开始时失去85%。,1.0
完美体验：浮黎,记忆,人间喜剧,命途机制,"强化前：角色对陷入冻结状态下的敌方目标施放攻击后，有100%的基础概率使其陷入【离神由特定「记忆」命途祝福施加的负面效果。
被视为冻结状态，一定回合内无法行动，该状态解除时会造成等同于敌方目标生命上限30%的冰属性附加伤害。】状态，持续1回合。强化后：角色对陷入冻结状态下的敌方目标施放攻击后，有100%的基础概率使其陷入【离神由特定「记忆」命途祝福施加的负面效果。
被视为冻结状态，一定回合内无法行动，该状态解除时会造成等同于敌方目标生命上限30%的冰属性附加伤害。】状态，持续1回合，并额外造成20%【离神由特定「记忆」命途祝福施加的负面效果。
被视为冻结状态，一定回合内无法行动，该状态解除时会造成等同于敌方目标生命上限30%的冰属性附加伤害。】解除时的伤害。",1.0
完美体验：纯真,记忆,人间喜剧,命途机制,"强化前：角色击破敌方目标弱点后，有100%的基础概率使其陷入【离神由特定「记忆」命途祝福施加的负面效果。
被视为冻结状态，一定回合内无法行动，该状态解除时会造成等同于敌方目标生命上限30%的冰属性附加伤害。】状态，持续1回合。强化后：角色击破敌方目标弱点后，有100%的基础概率使其陷入【离神由特定「记忆」命途祝福施加的负面效果。
被视为冻结状态，一定回合内无法行动，该状态解除时会造成等同于敌方目标生命上限30%的冰属性附加伤害。】状态，持续1回合，该次效果无视敌方目标抵抗冻结状态的概率。",1.0
完美体验：缄默,记忆,人间喜剧,负面状态,强化前：敌方目标受到6次攻击后，有120%基础概率陷入冻结状态，持续1回合。强化后：敌方目标受到5次攻击后，有150%基础概率陷入冻结状态，持续1回合。,1.0
恒常平和的梦境,记忆,千面英雄,,强化前：我方目标进入战斗/忆灵被召唤后，首次回合结束后行动提前50%，并使造成的伤害提高50%，持续4回合。强化后：我方目标进入战斗/忆灵被召唤后，首次回合结束后行动提前75%，并使造成的伤害提高75%，持续4回合。,3.1
未曾出错的直觉,记忆,千面英雄,,强化前：角色行动时，使自身与忆灵获得1层【执念每层使我方全体目标攻击力提高1.0%，生命上限提高0.5%，每名目标最多拥有20层，回合结束时失去2层。】，忆灵行动时，使自身与忆师获得1层【执念每层使我方全体目标攻击力提高1.0%，生命上限提高0.5%，每名目标最多拥有20层，回合结束时失去2层。】。强化后：角色行动时，使自身与忆灵获得1层【悬浮框执念每层使我方全体目标攻击力提高1.0%，生命上限提高0.5%，每名目标最多拥有20层，回合结束时失去2层。】，忆灵行动时，使自身与忆师获得2层【执念每层使我方全体目标攻击力提高1.0%，生命上限提高0.5%，每名目标最多拥有20层，回合结束时失去2层。】。,3.1
历久弥新的回忆,记忆,千面英雄,,强化前：我方目标施放攻击后，根据我方【执念每层使我方全体目标攻击力提高1.0%，生命上限提高0.5%，每名目标最多拥有20层，回合结束时失去2层。】总层数，对攻击目标造成每层1%攻击力的附加伤害。强化后：我方目标施放攻击后，根据我方【悬浮框执念每层使我方全体目标攻击力提高1.0%，生命上限提高0.5%，每名目标最多拥有20层，回合结束时失去2层。】总层数，对攻击目标造成每层1.5%攻击力的附加伤害。,3.1
感官追奉者的葬礼,虚无,人间喜剧,命途机制,"强化前：敌方目标每受到1次持续伤害，陷入2层【怀疑由特定「虚无」命途祝福施加的负面效果。
每层使受到的持续伤害提高1%，该效果最多叠加99层，在回合结束时失去2层。】效果。强化后：敌方目标每受到1次持续伤害，陷入2层【怀疑由特定「虚无」命途祝福施加的负面效果。
每层使受到的持续伤害提高1%，该效果最多叠加99层，在回合结束时失去2层。】效果。【怀疑由特定「虚无」命途祝福施加的负面效果。
每层使受到的持续伤害提高1%，该效果最多叠加99层，在回合结束时失去2层。】首次达到99层后，提供的持续伤害易伤不再受层数影响，固定为120%。",1.0
多余人的日记,虚无,人间喜剧,命途机制,"强化前：角色击破敌方目标弱点，或攻击处于弱点击破状态下的敌方目标后，分别使其陷入15或3层【怀疑由特定「虚无」命途祝福施加的负面效果。
每层使受到的持续伤害提高1%，该效果最多叠加99层，在回合结束时失去2层。】效果。强化后：角色击破敌方目标弱点，或攻击处于弱点击破状态下的敌方目标后，分别使其陷入24或4层【悬浮框怀疑由特定「虚无」命途祝福施加的负面效果。
每层使受到的持续伤害提高1%，该效果最多叠加99层，在回合结束时失去2层。】效果。",2.3
为何一切尚未消失,虚无,人间喜剧,持续伤害立即触发,强化前：敌方目标回合开始时额外触发1次持续伤害结算，使其当前承受的持续伤害状态立即产生相当于原伤害90%的伤害。强化后：敌方目标回合开始时额外触发1次持续伤害结算，使其当前承受的持续伤害状态立即产生相当于原伤害135%的伤害。,1.0
不可言明共通体,虚无,千面英雄,,强化前：敌方目标陷入持续伤害时，【呢喃敌方目标进入战斗时陷入该状态，视为风化状态，回合开始时造成等同于充能值的风属性持续伤害，并清除超过阈值的充能值，清除阈值为我方角色攻击力之和的4000%。】获得等同于我方角色攻击力之和20%的充能值。强化后：敌方目标陷入持续伤害时，【悬浮框呢喃敌方目标进入战斗时陷入该状态，视为风化状态，回合开始时造成等同于充能值的风属性持续伤害，并清除超过阈值的充能值，清除阈值为我方角色攻击力之和的4000%。】获得等同于我方角色攻击力之和30%的充能值。,3.1
从存在到存在者,虚无,千面英雄,,强化前：敌方目标每回合首次受到攻击后，使【呢喃敌方目标进入战斗时陷入该状态，视为风化状态，回合开始时造成等同于充能值的风属性持续伤害，并清除超过阈值的充能值，清除阈值为我方角色攻击力之和的4000%。】产生等同于原伤害160%的伤害。强化后：敌方目标每回合首次受到攻击后，使【悬浮框呢喃敌方目标进入战斗时陷入该状态，视为风化状态，回合开始时造成等同于充能值的风属性持续伤害，并清除超过阈值的充能值，清除阈值为我方角色攻击力之和的4000%。】产生等同于原伤害240%的伤害。,3.1
来自别处的声音,虚无,千面英雄,,强化前：敌方目标回合开始时额外触发1次持续伤害结算，使其当前承受的持续伤害状态立即产生相当于原伤害90%的伤害。强化后：敌方目标回合开始时额外触发1次持续伤害结算，使其当前承受的持续伤害状态立即产生相当于原伤害135%的伤害。,3.1
葳蕤繁祉，延彼遐龄,丰饶,人间喜剧,命途机制,"强化前：角色接受治疗时，对【珠露由特定「丰饶」命途祝福形成的充能效果。
充能值不超过角色生命上限的500%。施放攻击后破裂，基于充能值对攻击的敌方目标造成附加伤害。】进行充能，充能值为回复量的100%。强化后：角色接受治疗时，对【珠露由特定「丰饶」命途祝福形成的充能效果。
充能值不超过角色生命上限的500%。施放攻击后破裂，基于充能值对攻击的敌方目标造成附加伤害。】进行充能，充能值为回复量的100%。并使【珠露由特定「丰饶」命途祝福形成的充能效果。
充能值不超过角色生命上限的500%。施放攻击后破裂，基于充能值对攻击的敌方目标造成附加伤害。】造成的伤害提高40%。",1.0
若罪若福，施诸愿印,丰饶,人间喜剧,命途机制,"强化前：角色回合开始时，对【珠露由特定「丰饶」命途祝福形成的充能效果。
充能值不超过角色生命上限的500%。施放攻击后破裂，基于充能值对攻击的敌方目标造成附加伤害。】进行充能，充能值为当前生命值的60%。强化后：角色回合开始时，对【珠露由特定「丰饶」命途祝福形成的充能效果。
充能值不超过角色生命上限的500%。施放攻击后破裂，基于充能值对攻击的敌方目标造成附加伤害。】进行充能，充能值为自身生命上限的70%。",1.0
丰饶众生，一法界心,丰饶,人间喜剧,生命回复攻击力,强化前：角色提供治疗时，接受治疗目标以外的我方目标会回复等同于回复量30%的生命值。强化后：角色提供治疗时，接受治疗目标以外的我方目标会回复等同于回复量30%的生命值。并使我方全体攻击力提高，提高数值等同于本次回复量的15%，该效果可叠加，但不超过各自基础攻击力的80%，持续至下回合结束时。,1.0
帝星君临制穹桑,巡猎,人间喜剧,命途机制,"强化前：角色回合开始时，获得1层【会心由特定「巡猎」命途祝福施加的增益效果。
每层使暴击率提高6%，暴击伤害提高12%，该效果最多叠加8层，可以传递给下一个回合开始的我方目标。当任意我方目标受到攻击后层数清零。】效果。强化后：角色回合开始时，获得1层【会心由特定「巡猎」命途祝福施加的增益效果。
每层使暴击率提高6%，暴击伤害提高12%，该效果最多叠加8层，可以传递给下一个回合开始的我方目标。当任意我方目标受到攻击后层数清零。】效果，并使【会心由特定「巡猎」命途祝福施加的增益效果。
每层使暴击率提高6%，暴击伤害提高12%，该效果最多叠加8层，可以传递给下一个回合开始的我方目标。当任意我方目标受到攻击后层数清零。】最高可叠加至12层。",1.0
帝车超光所向捷,巡猎,人间喜剧,命途机制行动提前,"强化前：角色消灭敌方目标后，自身行动提前100%，在下个回合开始时，获得4层【会心由特定「巡猎」命途祝福施加的增益效果。
每层使暴击率提高6%，暴击伤害提高12%，该效果最多叠加8层，可以传递给下一个回合开始的我方目标。当任意我方目标受到攻击后层数清零。】效果。强化后：角色消灭敌方目标后，自身行动提前100%，在下个回合开始时，获得7层【会心由特定「巡猎」命途祝福施加的增益效果。
每层使暴击率提高6%，暴击伤害提高12%，该效果最多叠加8层，可以传递给下一个回合开始的我方目标。当任意我方目标受到攻击后层数清零。】效果。",1.0
