名称,模式,TAG,获取方式,效果,版本,星级
失金爪锚（破解版）,千面英雄,宇宙碎片 /  奇物获取 /  祝福获取,周期演算,进入区域时，获得50宇宙碎片，如果此时宇宙碎片小于750，获得1个随机1-2星奇物；如果宇宙碎片小于1500，获得1个随机祝福,3.6,2星
相对成功处方,千面英雄,无,周期演算,混沌药箱出现的概率大幅提高。进入区域时，若持有至少5个「绝对失败处方」，则将所有「绝对失败处方」丢弃，并获得1个3星奇物，500宇宙碎片以及3个3星祝福,3.5,2星
和平箱（破解版）,千面英雄,祝福获取,周期演算,展开1个方程后，获得2个随机祝福,3.5,2星
血锦之纪徽章（典藏版）,千面英雄,无,周期演算,进入【事件】区域后，出现3个事件,3.4,2星
神之足迹,千面英雄,造成伤害,无,同一「毁灭」「智识」命途角色连续施放技能时，造成的普攻/战技/终结技伤害提高80%，最多叠加3层，持续至任意其他目标施放技能后,3.3,加权奇物
星星的回忆,千面英雄,无,无,队伍中能量上限最高的我方「风」属性角色施放终结技后，有150%的基础概率使敌方全体陷入【呼唤】状态，持续2回合。当敌方目标处于【呼唤】状态时，也会被视为陷入了风化状态，每回合开始时受到等同于该角色200%攻击力的风属性持续伤害。本次终结技每消耗40点能量，该伤害的伤害倍率额外提高60%,3.3,加权奇物
简易判决,千面英雄,造成伤害,无,"进入战斗时，如果队伍中同时存在「巡猎」和「虚无」命途角色，「巡猎」/「虚无」命途角色施放攻击后，使随机1名攻击目标陷入【真实】/【虚伪】，持续3回合。当「巡猎」/「虚无」命途角色攻击带有【虚伪】/【真实】的目标后，消除目标身上的【虚伪】/【真实】，并额外造成2,000%悬浮框基础伤害敌方目标等级、阈值协议越高，造成的基础伤害越高。的量子属性伤害",3.3,加权奇物
自娱自乐,千面英雄,造成伤害,无,"「物理」属性角色成为我方技能的施放目标时，获得1层【醉意】，最多叠加3层；发动悬浮框反击当目标受到攻击后自动触发的效果，对攻击者施放1次额外的攻击。
反击也属于追加攻击。时，使该次反击当目标受到攻击后自动触发的效果，对攻击者施放1次额外的攻击。
反击也属于追加攻击。造成的伤害提高250%，并消耗1层【醉意】",3.3,加权奇物
智多笔,千面英雄,造成伤害,无,「量子」属性角色施放战技后，令随机「风」属性角色获得1层【罚抄】，每层使其造成的终结技伤害提高15%，最多叠加10层。「风」属性角色施放终结技后，令随机「量子」属性角色获得2层【笔记】，最多叠加5层。持有【笔记】的角色造成的战技伤害提高50%；施放战技后，消耗1层【笔记】并恢复1个战技点,3.3,加权奇物
寻爱金镖,千面英雄,造成伤害,无,进入战斗时，如果队伍中仅有「冰」或「雷」属性角色，我方目标发动的普攻与战技攻击无视弱点属性额外削减10点韧性值，且击破弱点时可同时触发冰和雷属性的击破效果；我方目标攻击处于冻结状态下的敌方目标后，使其当前承受的触电状态立即产生相当于原伤害500%的伤害,3.3,加权奇物
