事件名称,模式,选项,版本
昔涟,千面英雄,"激动人心的冒险故事。
神话色彩的寓言故事。
获得2个赐福残晶和5个对应命途的随机祝福。
获得5个金血祝颂。",3.6
巨狮竞技,千面英雄,"对巨狮摆出挑衅的姿势。我要打十个！进入一场非常艰难的战斗，胜利后获得1个2星方程，1个随机1-2星祝福和1个随机1-2星奇物少废话，继续打。进入一场艰难的战斗，胜利后获得1个随机1-2星祝福，1个随机1-2星奇物和200宇宙碎片
我要打十个！进入一场非常艰难的战斗，胜利后获得1个2星方程，1个随机1-2星祝福和1个随机1-2星奇物
少废话，继续打。进入一场艰难的战斗，胜利后获得1个随机1-2星祝福，1个随机1-2星奇物和200宇宙碎片
少废话，直接打。
我要打十个！进入一场非常艰难的战斗，胜利后获得1个2星方程，1个随机1-2星祝福和1个随机1-2星奇物
少废话，继续打。进入一场艰难的战斗，胜利后获得1个随机1-2星祝福，1个随机1-2星奇物和200宇宙碎片
进入一场非常艰难的战斗，胜利后获得1个2星方程，1个随机1-2星祝福和1个随机1-2星奇物
进入一场艰难的战斗，胜利后获得1个随机1-2星祝福，1个随机1-2星奇物和200宇宙碎片
进入一场战斗，胜利后获得1个随机1-2星祝福和200宇宙碎片",3.3
运输任务,千面英雄,"去农田运输粮食。
去港口运输材料。
我全都要！
获得100宇宙碎片和2个随机1-3星奇物
获得3个随机1-3星祝福
获得所有奖励，且获得负面奇物：驭兽缰盘",3.3
出手时机,千面英雄,"选择锈迹斑斑的星盘。
选择做工扎实的甲胄。
选择流光溢彩的裙摆。
晚买享折扣。
消耗150/50/-100宇宙碎片购买2个1星奇物
消耗250/100/0宇宙碎片购买2个2星奇物
消耗600/200/100宇宙碎片购买1个3星奇物
所有商品获得折扣，但最贵的商品可能被其他人买走",3.3
贤人之路（其一）,千面英雄,"奇美拉的产后护理。
不同成分浴盐对皮肤的影响。
人工炼制「金血」的可能性研究。
获得3个1-2星奇物，且有30%的概率通过简历筛选
获得2个1星祝福，且有100%的概率通过简历筛选
获得2个1星祝福，且有100%的概率通过简历筛选",3.3
贤人之路（其二）,千面英雄,"除了学术，你也懂一点拳术。
送点礼，人情世故得拿捏。
保持沉默,等待面试官开口。
进入一场艰难的战斗。胜利后视为通过面试，并获得1个随机1-2星奇物和3个1-3星祝福
失去2个随机祝福以通过面试，通过后获得2个1-2星祝福和200宇宙碎片
有50%的概率通过面试，通过后获得2个1-2星祝福和200宇宙碎片",3.3
贤人之路（其三）,千面英雄,"占卜和预言书籍。
金融和理财书籍。
获得1个2-3星方程与2个随机1-3星祝福
获得 800宇宙碎片",3.3
异种收容,千面英雄,"还笑！收你来了。
先饶你一命。
进入一场艰难的战斗，获胜后获得2个3星祝福和100宇宙碎片
离开",3.3
愿望天平,千面英雄,"我要成为翁法罗斯首富。
我要成为元老院议员。
我要成为神悟树庭贤者。
我现在这样就挺好的。
获得1个许愿托盘：进入7个区域后,该奇物损毁。损毁时，若拥有的宇宙碎片数量大于等于1,500，则获得1个3星方程和3个方程所需的祝福
获得1个许愿托盘：进入7个区域后,该奇物损毁。损毁时，若至少展开2个3星方程，则获得1个3星方程和3个方程所需的祝福
获得1个许愿托盘：进入7个区域后,该奇物损毁。损毁时，若至少拥有2个3星奇物，则获得1个3星方程和3个方程所需的祝福
获得2个随机1-2星祝福",3.3
棉花糖号,千面英雄,"加把糖，继续抬升高度。获得2个1-2星奇物与负面奇物：飞向高天Ⅰ型加把糖，继续抬升高度。获得3个随机1-2星祝福与负面奇物：飞向高天Ⅱ型加把糖，继续抬升高度。获得1个2星方程与负面奇物：飞向高天Ⅲ型关灶，降落。在这一刻你知道了生命的可贵关灶，降落。人最可贵的品质是知道自己的极限
加把糖，继续抬升高度。获得3个随机1-2星祝福与负面奇物：飞向高天Ⅱ型加把糖，继续抬升高度。获得1个2星方程与负面奇物：飞向高天Ⅲ型关灶，降落。在这一刻你知道了生命的可贵
加把糖，继续抬升高度。获得1个2星方程与负面奇物：飞向高天Ⅲ型
关灶，降落。在这一刻你知道了生命的可贵
关灶，降落。人最可贵的品质是知道自己的极限
关灶，降落。
加把糖，继续抬升高度。获得3个随机1-2星祝福与负面奇物：飞向高天Ⅱ型加把糖，继续抬升高度。获得1个2星方程与负面奇物：飞向高天Ⅲ型关灶，降落。在这一刻你知道了生命的可贵
加把糖，继续抬升高度。获得1个2星方程与负面奇物：飞向高天Ⅲ型
关灶，降落。在这一刻你知道了生命的可贵
关灶，降落。人最可贵的品质是知道自己的极限
加把糖，继续抬升高度。获得1个2星方程与负面奇物：飞向高天Ⅲ型
关灶，降落。在这一刻你知道了生命的可贵
获得2个1-2星奇物与负面奇物：飞向高天Ⅰ型
获得3个随机1-2星祝福与负面奇物：飞向高天Ⅱ型
获得1个2星方程与负面奇物：飞向高天Ⅲ型
在这一刻你知道了生命的可贵
人最可贵的品质是知道自己的极限
获得150宇宙碎片",3.3
迷宫双门,千面英雄,"打开青铜门。
打开青铜门。
哪扇都不开。
成功可以获得1个随机1-2星奇物，失败则失去3个随机奇物。当前失败几率0%/30%/60%/90%。
成功可以获得1个随机1-3星祝福，失败则失去3个随机祝福。当前失败几率0%/30%/60%/90%。
离开",3.3
